year,rank,cluster_label,size_pixels,area_km2,centroid_row,centroid_col,num_total_clusters
1985,1,LCC,83969,75.572,8340.0,6031.5,257945
1985,2,Cluster_2,55777,50.199,13099.7,3926.9,257945
1985,3,Cluster_3,42578,38.32,129.5,7702.7,257945
1985,4,Cluster_4,31414,28.273,4313.9,13321.4,257945
1985,5,Cluster_5,26327,23.694,3584.3,2697.7,257945
1985,6,Cluster_6,23836,21.452,11791.6,8727.9,257945
1986,1,LCC,84276,75.848,8339.8,6031.6,254514
1986,2,Cluster_2,56226,50.603,13099.2,3927.4,254514
1986,3,Cluster_3,42698,38.428,129.4,7702.6,254514
1986,4,Cluster_4,31678,28.51,4313.8,13321.7,254514
1986,5,Cluster_5,26372,23.735,3584.3,2697.7,254514
1986,6,Cluster_6,23911,21.52,11791.6,8727.9,254514
1987,1,LCC,85176,76.658,8339.6,6032.0,257322
1987,2,Cluster_2,57214,51.493,13097.5,3928.0,257322
1987,3,Cluster_3,42930,38.637,129.5,7702.1,257322
1987,4,Cluster_4,31885,28.696,4313.9,13321.7,257322
1987,5,Cluster_5,26483,23.835,3584.2,2697.9,257322
1987,6,Cluster_6,24293,21.864,11792.2,8727.6,257322
1988,1,LCC,86696,78.026,8338.9,6034.0,260604
1988,2,Cluster_2,61631,55.468,13102.2,3935.4,260604
1988,3,Cluster_3,43478,39.13,129.2,7702.9,260604
1988,4,Cluster_4,32157,28.941,4313.9,13321.8,260604
1988,5,Cluster_5,26608,23.947,3584.1,2698.2,260604
1988,6,Cluster_6,24506,22.055,11792.2,8727.3,260604
1989,1,LCC,88540,79.686,8340.2,6034.1,259545
1989,2,Cluster_2,63065,56.758,13101.6,3936.2,259545
1989,3,Cluster_3,43681,39.313,129.2,7702.7,259545
1989,4,Cluster_4,32331,29.098,4313.9,13321.7,259545
1989,5,Cluster_5,26723,24.051,3584.0,2698.4,259545
1989,6,Cluster_6,25011,22.51,11792.6,8728.3,259545
1990,1,LCC,94261,84.835,8340.0,6042.6,261923
1990,2,Cluster_2,66640,59.976,13100.6,3938.6,261923
1990,3,Cluster_3,44072,39.665,129.0,7702.9,261923
1990,4,Cluster_4,33096,29.786,4311.6,13319.4,261923
1990,5,Cluster_5,26803,24.123,3583.9,2698.5,261923
1990,6,Cluster_6,25209,22.688,11792.4,8728.1,261923
