year,rank,cluster_label,size_pixels,area_km2,centroid_row,centroid_col,num_total_clusters
1985,1,LCC,378500,340.65,8355.2,9484.2,365739
1985,2,Cluster_2,13224,11.902,8676.2,6971.2,365739
1985,3,Cluster_3,8643,7.779,7613.0,9765.4,365739
1985,4,Cluster_4,6547,5.892,1131.6,7920.8,365739
1985,5,Cluster_5,6209,5.588,8122.4,7672.6,365739
1985,6,Cluster_6,5837,5.253,9148.6,6541.5,365739
1986,1,LCC,462884,416.596,8349.0,9504.7,349484
1986,2,Cluster_2,18497,16.647,8099.7,6973.3,349484
1986,3,Cluster_3,16688,15.019,8140.9,7716.3,349484
1986,4,Cluster_4,15490,13.941,9177.9,6750.3,349484
1986,5,Cluster_5,14548,13.093,9834.3,11129.6,349484
1986,6,Cluster_6,14257,12.831,8673.7,6970.0,349484
1987,1,LCC,520910,468.819,8340.8,9512.1,339623
1987,2,Cluster_2,20454,18.409,8141.5,7721.0,339623
1987,3,Cluster_3,20394,18.355,8111.0,6987.4,339623
1987,4,Cluster_4,17597,15.837,9839.7,11131.1,339623
1987,5,Cluster_5,16028,14.425,9177.9,6750.1,339623
1987,6,Cluster_6,14639,13.175,8672.9,6969.9,339623
1988,1,LCC,548210,493.389,8326.6,9517.6,333177
1988,2,Cluster_2,21685,19.516,9830.1,11131.3,333177
1988,3,Cluster_3,21310,19.179,8142.1,7716.6,333177
1988,4,Cluster_4,20671,18.604,8110.4,6986.9,333177
1988,5,Cluster_5,17536,15.782,9183.3,6751.2,333177
1988,6,Cluster_6,14685,13.216,8672.8,6969.9,333177
1989,1,LCC,572664,515.398,8327.5,9520.5,327029
1989,2,Cluster_2,24225,21.802,8116.6,6992.6,327029
1989,3,Cluster_3,23868,21.481,9834.7,11125.9,327029
1989,4,Cluster_4,21733,19.56,8142.0,7717.3,327029
1989,5,Cluster_5,18031,16.228,9183.3,6752.3,327029
1989,6,Cluster_6,17292,15.563,8669.7,6969.4,327029
1990,1,LCC,624109,561.698,8324.4,9502.1,321170
1990,2,Cluster_2,34853,31.368,8058.0,6948.0,321170
1990,3,Cluster_3,27275,24.548,9842.3,11114.5,321170
1990,4,Cluster_4,24234,21.811,8142.2,7714.4,321170
1990,5,Cluster_5,21573,19.416,8685.4,6962.1,321170
1990,6,Cluster_6,18418,16.576,9183.6,6752.3,321170
1991,1,LCC,701025,630.922,8303.5,9500.3,319643
1991,2,Cluster_2,38273,34.446,8068.7,6962.7,319643
1991,3,Cluster_3,33234,29.911,9855.5,11125.8,319643
1991,4,Cluster_4,25198,22.678,8142.3,7712.6,319643
1991,5,Cluster_5,23330,20.997,9160.3,6733.2,319643
1991,6,Cluster_6,22702,20.432,8684.3,6961.1,319643
1992,1,LCC,784134,705.721,8313.5,9489.6,313801
1992,2,Cluster_2,42936,38.642,8082.6,6987.9,313801
1992,3,Cluster_3,34991,31.492,9856.0,11126.0,313801
1992,4,Cluster_4,31487,28.338,9164.5,6688.5,313801
1992,5,Cluster_5,29559,26.603,8141.7,7705.2,313801
1992,6,Cluster_6,23952,21.557,8681.4,6958.2,313801
1993,1,LCC,871499,784.349,8317.4,9483.4,309871
1993,2,Cluster_2,48223,43.401,8092.9,7008.9,309871
1993,3,Cluster_3,39729,35.756,9852.3,11133.7,309871
1993,4,Cluster_4,32857,29.571,8137.4,7699.1,309871
1993,5,Cluster_5,32231,29.008,9164.7,6690.3,309871
1993,6,Cluster_6,26262,23.636,7469.2,5923.1,309871
1994,1,LCC,919202,827.282,8314.4,9480.7,305516
1994,2,Cluster_2,62690,56.421,8147.0,7061.3,305516
1994,3,Cluster_3,41900,37.71,9851.5,11136.7,305516
1994,4,Cluster_4,36157,32.541,8136.8,7700.2,305516
1994,5,Cluster_5,34126,30.713,9159.5,6687.9,305516
1994,6,Cluster_6,28278,25.45,7457.2,5906.5,305516
1995,1,LCC,996273,896.646,8307.9,9483.4,295983
1995,2,Cluster_2,104033,93.63,8339.0,7037.0,295983
1995,3,Cluster_3,67372,60.635,9860.6,11113.7,295983
1995,4,Cluster_4,38518,34.666,8139.7,7696.1,295983
1995,5,Cluster_5,36893,33.204,9164.9,6696.2,295983
1995,6,Cluster_6,28980,26.082,7455.7,5904.4,295983
1996,1,LCC,1074790,967.311,8298.5,9485.5,289263
1996,2,Cluster_2,105803,95.223,8341.3,7037.3,289263
1996,3,Cluster_3,71811,64.63,9856.4,11118.7,289263
1996,4,Cluster_4,43408,39.067,8136.3,7692.4,289263
1996,5,Cluster_5,40322,36.29,9158.5,6705.7,289263
1996,6,Cluster_6,30384,27.346,7453.9,5902.7,289263
1997,1,LCC,1152518,1037.266,8290.0,9483.4,280456
1997,2,Cluster_2,127463,114.717,8281.3,6986.8,280456
1997,3,Cluster_3,83298,74.968,9864.8,11134.4,280456
1997,4,Cluster_4,45950,41.355,8138.5,7690.0,280456
1997,5,Cluster_5,41705,37.534,9160.8,6705.4,280456
1997,6,Cluster_6,31079,27.971,7453.6,5901.3,280456
1998,1,LCC,1191564,1072.408,8286.7,9482.3,274483
1998,2,Cluster_2,128371,115.534,8281.5,6986.6,274483
1998,3,Cluster_3,92483,83.235,9853.2,11151.0,274483
1998,4,Cluster_4,48381,43.543,8140.7,7694.6,274483
1998,5,Cluster_5,42079,37.871,9160.9,6705.3,274483
1998,6,Cluster_6,31951,28.756,7453.0,5901.8,274483
1999,1,LCC,1226653,1103.988,8284.3,9483.6,268843
1999,2,Cluster_2,131067,117.96,8281.9,6985.5,268843
1999,3,Cluster_3,97041,87.337,9856.8,11156.9,268843
1999,4,Cluster_4,55499,49.949,8113.5,7670.1,268843
1999,5,Cluster_5,42478,38.23,9161.0,6705.4,268843
1999,6,Cluster_6,33371,30.034,10823.7,10865.6,268843
2000,1,LCC,1331570,1198.413,8297.0,9450.7,263369
2000,2,Cluster_2,134542,121.088,8282.2,6984.9,263369
2000,3,Cluster_3,101099,90.989,9854.1,11158.8,263369
2000,4,Cluster_4,57640,51.876,8114.3,7671.3,263369
2000,5,Cluster_5,42825,38.542,9160.8,6705.7,263369
2000,6,Cluster_6,35561,32.005,10826.9,10866.3,263369
2001,1,LCC,1389223,1250.301,8299.1,9451.3,258832
2001,2,Cluster_2,136506,122.855,8282.7,6984.9,258832
2001,3,Cluster_3,105935,95.342,9853.4,11165.3,258832
2001,4,Cluster_4,67617,60.855,8128.7,7726.4,258832
2001,5,Cluster_5,43248,38.923,9160.6,6706.0,258832
2001,6,Cluster_6,38457,34.611,10834.3,10865.5,258832
2002,1,LCC,1440075,1296.067,8294.6,9444.1,252738
2002,2,Cluster_2,139529,125.576,8283.7,6984.6,252738
2002,3,Cluster_3,119016,107.114,9832.0,11212.9,252738
2002,4,Cluster_4,72137,64.923,8127.3,7729.5,252738
2002,5,Cluster_5,43791,39.412,9160.9,6706.3,252738
2002,6,Cluster_6,40045,36.04,10834.3,10868.3,252738
2003,1,LCC,1529354,1376.419,8292.1,9440.2,243973
2003,2,Cluster_2,143341,129.007,8285.9,6984.8,243973
2003,3,Cluster_3,142108,127.897,9844.2,11211.2,243973
2003,4,Cluster_4,85661,77.095,8111.9,7700.6,243973
2003,5,Cluster_5,44672,40.205,9160.8,6706.9,243973
2003,6,Cluster_6,42171,37.954,10833.8,10872.5,243973
2004,1,LCC,1737470,1563.723,8295.7,9377.4,233047
2004,2,Cluster_2,154139,138.725,9847.0,11217.2,233047
2004,3,Cluster_3,146081,131.473,8285.2,6984.5,233047
2004,4,Cluster_4,54297,48.867,11382.4,10825.3,233047
2004,5,Cluster_5,47601,42.841,10830.9,10884.0,233047
2004,6,Cluster_6,45219,40.697,9161.0,6707.9,233047
2005,1,LCC,1818489,1636.64,8293.4,9374.2,223275
2005,2,Cluster_2,174756,157.28,9826.5,11233.6,223275
2005,3,Cluster_3,149638,134.674,8288.3,6983.4,223275
2005,4,Cluster_4,64455,58.009,11381.7,10836.3,223275
2005,5,Cluster_5,64207,57.786,10815.6,10920.5,223275
2005,6,Cluster_6,60107,54.096,6233.0,9730.9,223275
2006,1,LCC,1906061,1715.455,8289.6,9370.5,211183
