year,rank,cluster_label,size_pixels,area_km2,centroid_row,centroid_col,num_total_clusters
1985,1,LCC,1773120,1595.808,9297.6,6968.7,223440
1985,2,Cluster_2,470372,423.335,5641.8,449.8,223440
1985,3,Cluster_3,155696,140.126,3912.9,3060.5,223440
1985,4,Cluster_4,130537,117.483,2288.8,2083.3,223440
1985,5,Cluster_5,119677,107.709,12140.6,466.2,223440
1985,6,Cluster_6,113796,102.416,5128.2,3268.0,223440
1986,1,LCC,1787798,1609.018,9298.0,6970.4,218390
1986,2,Cluster_2,471403,424.263,5641.9,449.9,218390
1986,3,Cluster_3,168545,151.69,3921.2,3075.8,218390
1986,4,Cluster_4,130774,117.697,2288.8,2083.3,218390
1986,5,Cluster_5,120844,108.76,12140.4,466.9,218390
1986,6,Cluster_6,114254,102.829,5128.2,3268.2,218390
1987,1,LCC,1800106,1620.095,9298.6,6970.5,217005
1987,2,Cluster_2,473397,426.057,5641.8,450.0,217005
1987,3,Cluster_3,170322,153.29,3921.7,3075.8,217005
1987,4,Cluster_4,131590,118.431,2288.8,2083.7,217005
1987,5,Cluster_5,122799,110.519,12140.3,470.1,217005
1987,6,Cluster_6,115407,103.866,5128.6,3268.1,217005
1988,1,LCC,1825602,1643.042,9299.4,6967.2,215557
1988,2,Cluster_2,475951,428.356,5641.9,450.5,215557
1988,3,Cluster_3,172723,155.451,3922.5,3075.5,215557
1988,4,Cluster_4,132556,119.3,2288.9,2083.4,215557
1988,5,Cluster_5,123943,111.549,12140.3,470.6,215557
1988,6,Cluster_6,116672,105.005,5128.7,3268.3,215557
1989,1,LCC,1839576,1655.618,9299.6,6967.9,215455
1989,2,Cluster_2,479694,431.725,5642.8,452.2,215455
1989,3,Cluster_3,175071,157.564,3923.1,3075.7,215455
1989,4,Cluster_4,133634,120.271,2288.1,2084.9,215455
1989,5,Cluster_5,124867,112.38,12140.2,470.9,215455
1989,6,Cluster_6,117638,105.874,5128.6,3268.5,215455
1990,1,LCC,1849290,1664.361,9299.8,6968.4,213652
1990,2,Cluster_2,482385,434.146,5642.8,452.7,213652
1990,3,Cluster_3,176340,158.706,3923.2,3075.8,213652
1990,4,Cluster_4,134306,120.875,2288.1,2085.0,213652
1990,5,Cluster_5,126252,113.627,12140.1,471.2,213652
1990,6,Cluster_6,120771,108.694,5125.8,3266.1,213652
